x,y,z
-0.043845,-0.000448,0.315073
-0.048744,-0.126582,0.183937
-0.143783,-0.316678,0.617379
-0.148682,-0.442812,0.486243
0.044825,-0.329420,0.480492
0.039926,-0.455554,0.349356
-0.281197,-0.114288,0.635897
-0.286096,-0.240421,0.504761
-0.092589,-0.127030,0.499010
-0.097488,-0.253163,0.367874
-0.102387,-0.379297,0.236738
0.091119,-0.265905,0.230987
0.086221,-0.392039,0.099851
-0.234902,-0.050773,0.386392
-0.239801,-0.176906,0.255256
-0.046295,-0.063515,0.249505
-0.051193,-0.189648,0.118369
-0.146232,-0.379745,0.551811
-0.151131,-0.505878,0.420675
0.042375,-0.392487,0.414924
0.037477,-0.518621,0.283788
-0.283646,-0.177354,0.570329
-0.288545,-0.303488,0.439193
-0.004899,-0.126133,-0.131136
0.183709,-0.138876,-0.268023
-0.142313,0.076257,-0.112618
0.046295,0.063515,-0.249505
-0.053643,-0.252715,0.052801
0.134965,-0.265457,-0.084086
-0.191057,-0.050325,0.071319
-0.002449,-0.063067,-0.065568
-0.007348,-0.189200,-0.196704
0.181259,-0.201942,-0.333591
-0.144762,0.013190,-0.178186
0.043845,0.000448,-0.315073
-0.056092,-0.315782,-0.012767
0.132515,-0.328524,-0.149654
-0.193506,-0.113391,0.005751
